Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68001134,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#01,Supplier master information schedule,Information Deliverables List,Schedule of specific information deliverables developed by the [Vendor] and accepted by the [Purchaser] to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines; a) information ,,equipment,contract management information deliverables,ANSI/API Std 610 10.3.1.1,,,CFIHOS-70000099,master document register,no,yes,yes,,WAO,,WAO,,,ASB,yes,native
CFIHOS-68001135,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#02,Delivery schedule,Delivery/Production Schedule,"Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by [vendor/sub-vendors]Schedule details typically** include;.a) Contractual milestonesb) Activity ea",,equipment,contract management information deliverables,ANSI/API Std 610 10.2.3.d,,,CFIHOS-70000298,procurement schedule,yes,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001136,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#03,Progress report,Progress Report,"Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,equipment,contract management information deliverables,"ANSI/API Std 610 10.3.3, Annex L",,,CFIHOS-70000300,progress report,no,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001137,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#04,Quality plan,Quality Plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the [vendor], and when applicable [sub-vendors] or [manufacturers], to deliver the services or procured item(s) in conformance with the agreed requirements.ISO 9001 Cl",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000451,quality plan,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001138,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#06,Sub-vendor delivery schedule,Sub-Supplier List,"Definition of processes, products or services that will be externally provided and the controls to be applied by the [vendor] to ensure conformance with agreed requirements. The schedule includes evidence of the basis of capability assessment , quality ma",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000455,sub-supplier list,yes,no,yes,,,,,,WAO,AFC,yes,native
CFIHOS-68001139,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#07,Inspection and test plan for complete package,Inspection and Test Plan (ITP),"Tabular presentation of a quality plan typically used for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria records and associated [vendor], [purchaser] and independent conformity ",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000180,inspection and test plan,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68001140,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#08,"Handling, shipping, storage and preservation procedure","Handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their functionality and guarantees.Procedures typically define:a) Packaging requirem",,equipment,contract management information deliverables,"ANSI/API Std 610 8.4, Annex L , S-615 8.4",,,CFIHOS-70000154,"handling, shipping, storage procedure",no,no,yes,,,,,,WPTD,AFC,yes,PDF
CFIHOS-68001141,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#09,Non-conformance records,Nonconformance History,Details of non-conformances raised by or to the [vendor/sub-vendors] against technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the [vendor] in accordance with ISO 9001 Clause 8.7 and associat,,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000226,non conformance report,no,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001142,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,MD#10,Concession requests,Concession request,"Formal submission seeking [purchaser] agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Reque",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000389,technical deviation request,no,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001143,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#01,Warm-up (or Cool-down) procedure,Procedures,Detailed procedure to be followed to achieve instantaneous start-up of the pump with the pumping temperatures indicated on the data sheet.,,equipment,technical information deliverables,S-615 6.1.36,,,CFIHOS-70000332,test procedure,no,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001144,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#02,Instrument data Ssheets,Instrument Data Sheets,"Purchaser's format instrument data sheets, fully completed.",,equipment,technical information deliverables,S-615 7.4.2.5,,,CFIHOS-70000416,manufacturer datasheet,no,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001145,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#03,Instrument list,Instrument List,"Instrument list with tag nos., service descriptions, ranges, alarm and trip set points (if any).",,equipment,technical information deliverables,S-615 7.4.2.5,,,CFIHOS-70000418,instrument list,no,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001146,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#04,Non-destructive examination procedures,Non-Destructive Examination Procedure,"Written description of all essential parameters and precautions to be applied when non-destructively testing products in accordance with standard(s), code(s) or specification(s).",,equipment,technical information deliverables,S-615 8.2.2.1,,,CFIHOS-70000227,non destructive test procedure,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001147,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#05,Non-destructive examination operators qualifications,NDE operators qualifications,"Qualification certificates for the technicians and operators signing certificates are required. NDE Operators are required to be qualified by an authorized qualification body such as to PCN, CSWIP, SNT-TC-1A, or other Purchaser approved standard according",,equipment,technical information deliverables,"ASME BPVC, Article 1, Section V",,,CFIHOS-70000437,personnel qualification certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001148,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#06,Certified hydrostatic test procedure,Test Procedures,Procedure to determine that equipment pressure envelope strength and integrity complies fully with the Purchaser requirements.,,equipment,technical information deliverables,S-615 8.3.2.1,,,CFIHOS-70000332,test procedure,no,no,yes,,,,,,WPTT,AFC,yes,PDF
CFIHOS-68001149,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#07,Impeller as-built drawing,Impeller Drawings,"Impeller as-built drawing. Drawing showing the details of any modifications (under filling, over filling, V-cutting or any other such technique) made to the impeller after the performance test to correct hydraulic performance.",,equipment,technical information deliverables,"ANSI/API Std 610 8.3.3.7 a);, S-615 8.3.3.7.a)",,,CFIHOS-70000438,detail diagram,no,no,yes,,,,,,WAT,ASB,yes,PDF
CFIHOS-68001150,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#08,Painting procedure,Painting Procedure,"Detailed procedure for surface preparation and painting covering all items in Vendor's scope of supply. To include systems for the materials of construction, the operating temperatures, the site environment, any items under insulation.",,equipment,technical information deliverables,S-615 8.4.2.4,,,CFIHOS-70000384,surface protection procedure,yes,no,yes,,,,,,WPTD,AFC,yes,PDF
CFIHOS-68001151,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#09,Manufacturing record book index,Manufacturer Record Book Index,"Each manufacturing record book (MRB) is to include all of the manufacturing records and certification referenced in the Purchaser accepted Inspection and Test Plans and all documentation required to demonstrate full compliance with, and/or as specified in",,equipment,technical information deliverables,S-615 10.3.5.4,,,CFIHOS-70000178,index of documents,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68001152,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#10,Manufacturing record book,Manufacturer Record Book,Manufacturing record book is to contain all required quality related documents relating to the complete package. The Vendor's proposed index is to be agreed prior to submission of the manual and the MRB shall be compiled in strict accordance with the Purc,,equipment,technical information deliverables,S-615 10.3.5.4,,,CFIHOS-70000178,index of documents,no,yes,yes,,WPTD,,WPTD,,,ASB,yes,PDF
CFIHOS-68001153,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,S-615#11,Declaration of conformity,Declaration of Conformity,"The manufacture’s or other party’s confirmation that the product is designed, manufactured and tested as specified. To be delivered according to applicable authorities requirements.",,equipment,technical information deliverables,Contract Requirement,,,CFIHOS-70000431,declaration of conformity,no,yes,yes,,WPTD,,WPTD,,,AFC,yes,PDF
CFIHOS-68001154,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-20,Supplier master information schedule,Information Deliverables List,Schedule of specific information deliverables developed by the [Vendor] and accepted by the [Purchaser] to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines;a. information d,,equipment,contract management information deliverables,,,,CFIHOS-70000099,master document register,no,no,yes,,WAO,,WAO,,,AFC,no,native
CFIHOS-68001155,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-21,Quality plan,Quality Plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the [vendor], and when applicable [sub-vendors] or [manufacturers], to deliver the services or procured item(s) in conformance with the agreed requirements. ISO 9001 C",,equipment,contract management information deliverables,,,,CFIHOS-70000451,quality plan,no,yes,yes,,,,,,WAO,AFC,no,PDF
CFIHOS-68001156,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-22,Inspection and test plan,Inspection and Test Plan (ITP),"Tabular presentation of a quality plan typically used for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria records and associated [vendor], [purchaser] and independent conformity ",,equipment,contract management information deliverables,,,,CFIHOS-70000180,inspection and test plan,no,yes,yes,,,,,,WAO,AFC,no,PDF
CFIHOS-68001157,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-23,"Handling, shipping, storage and preservation procedure","Handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their functionality and guarantees.Procedures typically define:a. packaging requirem",,equipment,contract management information deliverables,6.6,,,CFIHOS-70000154,"handling, shipping, storage procedure",no,yes,yes,,,,,,WPTD,AFC,no,PDF
CFIHOS-68001158,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-24,Non-conformance records,Nonconformance History,Details of non-conformances raised by or to the [vendor/sub-vendors] against technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the [vendor] in accordance with ISO 9001 Clause 8.7 and associat,,equipment,contract management information deliverables,,,,CFIHOS-70000226,non conformance report,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68001159,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-25,Concession requests,Concession request,"Formal submission seeking [purchaser] agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Reque",,equipment,contract management information deliverables,,,,CFIHOS-70000389,technical deviation request,no,no,yes,,WAO,,WAO,,,ASB,no,PDF
CFIHOS-68001160,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-26,General arrangement drawing,General arrangement diagram,"A drawing showing overall dimensions, critical interface dimensions, part references and weight of assemblies, equipment and components. The drawing shall contain reference to main specifications and standards. For equipment / components the drawing may i",Preliminary with proposal,equipment,technical information deliverables,"11.1, 11.3.4.5, 11.3.6.11, 11.3.6.12, 11.3.6.15, 11.3.6.16, 11.3.6.9, 11.3.8.3.2, 11.3.8.3.4, 11.3.8.3.5, 11.3.9.2, 11.5.3, 11.5.4.1, 11.5.4.6, 11.7.2, 6.8.2",,,CFIHOS-70000153,general arrangement diagram,yes,no,yes,,WAO,,WAO,,,ASB,no,PDF
CFIHOS-68001161,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-27,Termination diagram,Termination diagram,"A diagram which identifies all connections and cable terminations to facilitate installation, removal, maintenance and fault finding of package equipment. To include vendor interfaces.- Motor terminations- Termination system design for line conductor cabl",,equipment,technical information deliverables,"15.4.2, 15.4.3, 15.4.4",,,CFIHOS-70000330,termination diagram,no,no,yes,,WAO,,WAO,,,ASB,no,PDF
CFIHOS-68001162,CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021,S704-IR-28,Single-speed motor performance curves,Motor performance & electrical data and curves,Motor performance curve shall include the following information:- Torque curve from 0 to 100% synchronous speed at 80% rated voltage expressed as a percentage of rated torque.- Torque curve from 0 to 100% synchronous speed at 100% rated voltage expressed ,,equipment,technical information deliverables,9.12.1.3,,,CFIHOS-70000449,performance report,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
