CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-60001928,nb,"Bokmål, Norwegian; Norwegian Bokmål",property picklist value
CFIHOS-60001929,nd,"Ndebele, North; North Ndebele",property picklist value
CFIHOS-60001930,ne,Nepali,property picklist value
CFIHOS-60001931,ng,Ndonga,property picklist value
CFIHOS-60001932,nn,"Norwegian Nynorsk; Nynorsk, Norwegian",property picklist value
CFIHOS-60001933,no,Norwegian,property picklist value
CFIHOS-60001934,nr,"Ndebele, South; South Ndebele",property picklist value
CFIHOS-60001935,nv,Navajo; Navaho,property picklist value
CFIHOS-60001936,ny,Chichewa; Chewa; Nyanja,property picklist value
CFIHOS-60001937,oc,Occitan,property picklist value
CFIHOS-60001938,oj,Ojibwa,property picklist value
CFIHOS-60001939,om,Oromo,property picklist value
CFIHOS-60001940,or,Oriya,property picklist value
CFIHOS-60001941,os,Ossetian; Ossetic,property picklist value
CFIHOS-60001942,pa,Panjabi; Punjabi,property picklist value
CFIHOS-60001943,pi,Pali,property picklist value
CFIHOS-60001944,pl,Polish,property picklist value
CFIHOS-60001945,ps,Pushto; Pashto,property picklist value
CFIHOS-60001946,pt,Portuguese,property picklist value
CFIHOS-60001947,qu,Quechua,property picklist value
CFIHOS-60001948,rm,Romansh,property picklist value
CFIHOS-60001949,rn,Rundi,property picklist value
CFIHOS-60001950,ro,Romanian; Moldavian; Moldovan,property picklist value
CFIHOS-60001951,rw,Kinyarwanda,property picklist value
CFIHOS-60001952,sa,Sanskrit,property picklist value
CFIHOS-60001953,sc,Sardinian,property picklist value
CFIHOS-60001954,sd,Sindhi,property picklist value
CFIHOS-60001955,se,Northern Sami,property picklist value
CFIHOS-60001956,sg,Sango,property picklist value
CFIHOS-60001957,si,Sinhala; Sinhalese,property picklist value
CFIHOS-60001958,sk,Slovak,property picklist value
CFIHOS-60001959,sl,Slovenian,property picklist value
CFIHOS-60001960,sm,Samoan,property picklist value
CFIHOS-60001961,sn,Shona,property picklist value
CFIHOS-60001962,so,Somali,property picklist value
CFIHOS-60001963,sq,Albanian,property picklist value
CFIHOS-60001964,sr,Serbian,property picklist value
CFIHOS-60001965,ss,Swati,property picklist value
CFIHOS-60001966,st,"Sotho, Southern",property picklist value
CFIHOS-60001967,su,Sundanese,property picklist value
CFIHOS-60001968,sv,Swedish,property picklist value
CFIHOS-60001969,sw,Swahili,property picklist value
CFIHOS-60001970,ta,Tamil,property picklist value
CFIHOS-60001971,te,Telugu,property picklist value
CFIHOS-60001972,tg,Tajik,property picklist value
CFIHOS-60001973,th,Thai,property picklist value
CFIHOS-60001974,ti,Tigrinya,property picklist value
CFIHOS-60001975,tk,Turkmen,property picklist value
CFIHOS-60001976,tl,Tagalog,property picklist value
CFIHOS-60001977,tn,Tswana,property picklist value
CFIHOS-60001978,to,Tonga,property picklist value
CFIHOS-60001979,tr,Turkish,property picklist value
CFIHOS-60001980,ts,Tsonga,property picklist value
CFIHOS-60001981,tt,Tatar,property picklist value
CFIHOS-60001982,tw,Twi,property picklist value
CFIHOS-60001983,ty,Tahitian,property picklist value
CFIHOS-60001984,ug,Uighur; Uyghur,property picklist value
CFIHOS-60001985,uk,Ukrainian,property picklist value
CFIHOS-60001986,ur,Urdu,property picklist value
CFIHOS-60001987,uz,Uzbek,property picklist value
CFIHOS-60001988,ve,Venda,property picklist value
CFIHOS-60001989,vi,Vietnamese,property picklist value
CFIHOS-60001990,vo,Volapük,property picklist value
CFIHOS-60001991,wa,Walloon,property picklist value
CFIHOS-60001992,wo,Wolof,property picklist value
CFIHOS-60001993,xh,Xhosa,property picklist value
CFIHOS-60001994,yi,Yiddish,property picklist value
CFIHOS-60001995,yo,Yoruba,property picklist value
CFIHOS-60001996,za,Zhuang; Chuang,property picklist value
CFIHOS-60001997,zu,Zulu,property picklist value
CFIHOS-60001998,AF,Afghanistan,property picklist value
CFIHOS-60001999,AL,Albania,property picklist value
CFIHOS-60002000,DZ,Algeria,property picklist value
CFIHOS-60002001,AS,American Samoa,property picklist value
CFIHOS-60002002,AD,Andorra,property picklist value
CFIHOS-60002003,AO,Angola,property picklist value
CFIHOS-60002004,AI,Anguilla,property picklist value
CFIHOS-60002005,AQ,Antarctica,property picklist value
CFIHOS-60002006,AG,Antigua and Barbuda,property picklist value
CFIHOS-60002007,AR,Argentina,property picklist value
CFIHOS-60002008,AM,Armenia,property picklist value
CFIHOS-60002009,AW,Aruba,property picklist value
CFIHOS-60002010,AU,Australia,property picklist value
CFIHOS-60002011,AT,Austria,property picklist value
CFIHOS-60002012,AZ,Azerbaijan,property picklist value
CFIHOS-60002013,BS,Bahamas,property picklist value
CFIHOS-60002014,BH,Bahrain,property picklist value
CFIHOS-60002015,BD,Bangladesh,property picklist value
CFIHOS-60002016,BB,Barbados,property picklist value
CFIHOS-60002017,BY,Belarus,property picklist value
CFIHOS-60002018,BE,Belgium,property picklist value
CFIHOS-60002019,BZ,Belize,property picklist value
CFIHOS-60002020,BJ,Benin,property picklist value
CFIHOS-60002021,BM,Bermuda,property picklist value
CFIHOS-60002022,BT,Bhutan,property picklist value
CFIHOS-60002023,BO,Bolivia (Plurinational State of),property picklist value
CFIHOS-60002024,BQ,"Bonaire, Sint Eustatius and Saba",property picklist value
CFIHOS-60002025,BA,Bosnia and Herzegovina,property picklist value
CFIHOS-60002026,BW,Botswana,property picklist value
CFIHOS-60002027,BV,Bouvet Island,property picklist value
CFIHOS-60002028,BR,Brazil,property picklist value
CFIHOS-60002029,IO,British Indian Ocean Territory,property picklist value
CFIHOS-60002030,VG,British Virgin Islands,property picklist value
CFIHOS-60002031,BN,Brunei Darussalam,property picklist value
CFIHOS-60002032,BG,Bulgaria,property picklist value
CFIHOS-60002033,BF,Burkina Faso,property picklist value
CFIHOS-60002034,BI,Burundi,property picklist value
CFIHOS-60002035,CV,Cabo Verde,property picklist value
CFIHOS-60002036,KH,Cambodia,property picklist value
CFIHOS-60002037,CM,Cameroon,property picklist value
CFIHOS-60002038,CA,Canada,property picklist value
CFIHOS-60002039,KY,Cayman Islands,property picklist value
CFIHOS-60002040,CF,Central African Republic,property picklist value
CFIHOS-60002041,TD,Chad,property picklist value
CFIHOS-60002042,CL,Chile,property picklist value
CFIHOS-60002043,CN,China,property picklist value
CFIHOS-60002044,HK,"China, Hong Kong Special Administrative Region",property picklist value
CFIHOS-60002045,MO,"China, Macao Special Administrative Region",property picklist value
CFIHOS-60002046,CX,Christmas Island,property picklist value
CFIHOS-60002047,CC,Cocos (Keeling) Islands,property picklist value
CFIHOS-60002048,CO,Colombia,property picklist value
CFIHOS-60002049,KM,Comoros,property picklist value
CFIHOS-60002050,CG,Congo,property picklist value
CFIHOS-60002051,CK,Cook Islands,property picklist value
CFIHOS-60002052,CR,Costa Rica,property picklist value
CFIHOS-60002053,HR,Croatia,property picklist value
CFIHOS-60002054,CU,Cuba,property picklist value
CFIHOS-60002055,CW,Curaçao,property picklist value
CFIHOS-60002056,CY,Cyprus,property picklist value
CFIHOS-60002057,CZ,Czechia,property picklist value
CFIHOS-60002058,CI,Côte d'Ivoire,property picklist value
CFIHOS-60002059,KP,Democratic People's Republic of Korea,property picklist value
CFIHOS-60002060,CD,Democratic Republic of the Congo,property picklist value
CFIHOS-60002061,DK,Denmark,property picklist value
CFIHOS-60002062,DJ,Djibouti,property picklist value
CFIHOS-60002063,DM,Dominica,property picklist value
CFIHOS-60002064,DO,Dominican Republic,property picklist value
CFIHOS-60002065,EC,Ecuador,property picklist value
CFIHOS-60002066,EG,Egypt,property picklist value
CFIHOS-60002067,SV,El Salvador,property picklist value
CFIHOS-60002068,GQ,Equatorial Guinea,property picklist value
CFIHOS-60002069,ER,Eritrea,property picklist value
CFIHOS-60002070,EE,Estonia,property picklist value
CFIHOS-60002071,ET,Ethiopia,property picklist value
CFIHOS-60002072,FK,Falkland Islands (Malvinas),property picklist value
CFIHOS-60002073,FO,Faroe Islands,property picklist value
CFIHOS-60002074,FJ,Fiji,property picklist value
CFIHOS-60002075,FI,Finland,property picklist value
CFIHOS-60002076,FR,France,property picklist value
CFIHOS-60002077,GF,French Guiana,property picklist value
CFIHOS-60002078,PF,French Polynesia,property picklist value
CFIHOS-60002079,TF,French Southern Territories,property picklist value
CFIHOS-60002080,GA,Gabon,property picklist value
CFIHOS-60002081,GM,Gambia,property picklist value
CFIHOS-60002082,GE,Georgia,property picklist value
CFIHOS-60002083,DE,Germany,property picklist value
CFIHOS-60002084,GH,Ghana,property picklist value
CFIHOS-60002085,GI,Gibraltar,property picklist value
CFIHOS-60002086,GR,Greece,property picklist value
CFIHOS-60002087,GL,Greenland,property picklist value
CFIHOS-60002088,GD,Grenada,property picklist value
CFIHOS-60002089,GP,Guadeloupe,property picklist value
CFIHOS-60002090,GU,Guam,property picklist value
CFIHOS-60002091,GT,Guatemala,property picklist value
CFIHOS-60002092,GG,Guernsey,property picklist value
CFIHOS-60002093,GN,Guinea,property picklist value
CFIHOS-60002094,GW,Guinea-Bissau,property picklist value
CFIHOS-60002095,GY,Guyana,property picklist value
CFIHOS-60002096,HT,Haiti,property picklist value
CFIHOS-60002097,HM,Heard Island and McDonald Islands,property picklist value
CFIHOS-60002098,VA,Holy See,property picklist value
CFIHOS-60002099,HN,Honduras,property picklist value
CFIHOS-60002100,HU,Hungary,property picklist value
CFIHOS-60002101,IS,Iceland,property picklist value
CFIHOS-60002102,IN,India,property picklist value
CFIHOS-60002103,ID,Indonesia,property picklist value
CFIHOS-60002104,IR,Iran (Islamic Republic of),property picklist value
CFIHOS-60002105,IQ,Iraq,property picklist value
CFIHOS-60002106,IE,Ireland,property picklist value
CFIHOS-60002107,IM,Isle of Man,property picklist value
CFIHOS-60002108,IL,Israel,property picklist value
CFIHOS-60002109,IT,Italy,property picklist value
CFIHOS-60002110,JM,Jamaica,property picklist value
CFIHOS-60002111,JP,Japan,property picklist value
CFIHOS-60002112,JE,Jersey,property picklist value
CFIHOS-60002113,JO,Jordan,property picklist value
CFIHOS-60002114,KZ,Kazakhstan,property picklist value
CFIHOS-60002115,KE,Kenya,property picklist value
CFIHOS-60002116,KI,Kiribati,property picklist value
CFIHOS-60002117,KW,Kuwait,property picklist value
CFIHOS-60002118,KG,Kyrgyzstan,property picklist value
CFIHOS-60002119,LA,Lao People's Democratic Republic,property picklist value
CFIHOS-60002120,LV,Latvia,property picklist value
CFIHOS-60002121,LB,Lebanon,property picklist value
CFIHOS-60002122,LS,Lesotho,property picklist value
CFIHOS-60002123,LR,Liberia,property picklist value
CFIHOS-60002124,LY,Libya,property picklist value
CFIHOS-60002125,LI,Liechtenstein,property picklist value
CFIHOS-60002126,LT,Lithuania,property picklist value
CFIHOS-60002127,LU,Luxembourg,property picklist value
CFIHOS-60002128,MG,Madagascar,property picklist value
CFIHOS-60002129,MW,Malawi,property picklist value
CFIHOS-60002130,MY,Malaysia,property picklist value
CFIHOS-60002131,MV,Maldives,property picklist value
CFIHOS-60002132,ML,Mali,property picklist value
CFIHOS-60002133,MT,Malta,property picklist value
CFIHOS-60002134,MH,Marshall Islands,property picklist value
CFIHOS-60002135,MQ,Martinique,property picklist value
CFIHOS-60002136,MR,Mauritania,property picklist value
CFIHOS-60002137,MU,Mauritius,property picklist value
CFIHOS-60002138,YT,Mayotte,property picklist value
CFIHOS-60002139,MX,Mexico,property picklist value
CFIHOS-60002140,FM,Micronesia (Federated States of),property picklist value
CFIHOS-60002141,MC,Monaco,property picklist value
CFIHOS-60002142,MN,Mongolia,property picklist value
CFIHOS-60002143,ME,Montenegro,property picklist value
CFIHOS-60002144,MS,Montserrat,property picklist value
CFIHOS-60002145,MA,Morocco,property picklist value
CFIHOS-60002146,MZ,Mozambique,property picklist value
CFIHOS-60002147,MM,Myanmar,property picklist value
CFIHOS-60002148,NA,Namibia,property picklist value
CFIHOS-60002149,NR,Nauru,property picklist value
CFIHOS-60002150,NP,Nepal,property picklist value
CFIHOS-60002151,NL,Netherlands,property picklist value
CFIHOS-60002152,NC,New Caledonia,property picklist value
CFIHOS-60002153,NZ,New Zealand,property picklist value
CFIHOS-60002154,NI,Nicaragua,property picklist value
CFIHOS-60002155,NE,Niger,property picklist value
CFIHOS-60002156,NG,Nigeria,property picklist value
CFIHOS-60002157,NU,Niue,property picklist value
CFIHOS-60002158,NF,Norfolk Island,property picklist value
CFIHOS-60002159,MP,Northern Mariana Islands,property picklist value
CFIHOS-60002160,NO,Norway,property picklist value
CFIHOS-60002161,OM,Oman,property picklist value
