discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20001773,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",IN6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001774,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",MR6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001775,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",MS6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001776,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",UA6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001777,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",TA6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001778,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",MP6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001779,CFIHOS-20000027,QA,quality management,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",QA6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001780,CFIHOS-20000010,HE,environmental,CFIHOS-70000434,9008,environmental product declaration,Quantified environmental information on the life cycle of a product to enable comparisons between products fulfilling the same function.,HE9008,Equipment,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,product environmental profile
CFIHOS-20001781,CFIHOS-20000010,HE,environmental,CFIHOS-70000435,9009,life-cycle assessment,"Methodology for assessing environmental impacts associated with all the stages of the life cycle of a commercial product, process, or service.",HE9009,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,life cycle analysis;LCA
CFIHOS-20001782,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",CB9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001783,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",CX9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001784,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",EA9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001785,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",HX9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001786,CFIHOS-20000005,CI,infrastructure engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",CI9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001787,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",IN9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001788,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",MX9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001789,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",MR9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001790,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",MS9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001791,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",LA9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001792,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",MP9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001793,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",CS9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001794,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",UA9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001795,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000438,9012,detail diagram,"A diagram showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints.",TA9012,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001796,CFIHOS-20000027,QA,quality management,CFIHOS-70000439,9013,dimensional report,A document providing measured real dimensions and verification of tolerances.,QA9013,Equipment,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001797,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000440,9014,elevation diagram,A two-dimensional view of a three-dimensional space normally showing vertical and horizontal dimensions,CB9014,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001798,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000440,9014,elevation diagram,A two-dimensional view of a three-dimensional space normally showing vertical and horizontal dimensions,MP9014,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001799,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000440,9014,elevation diagram,A two-dimensional view of a three-dimensional space normally showing vertical and horizontal dimensions,CS9014,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001800,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000436,9010,failure mode effects analysis,A report providing analysis of the risks associated with potential technical or common cause failure of a system or item of equipment including the effect on reliability and the required function.,EA9010,Tag,Text,at handover,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,FMEA
